,purpose,amount
782,benefit sponsorship,1000.0
2184,deposit on campaign event room rental & food,1000.0
1980,contiribution made,1000.0
1361,campaign sign holder,1000.0
2310,dinner ,1000.0
7050,sponorship,1000.0
1985,contrbution ,1000.0
1479,campaign watch party space ,1000.0
6747,sept/oct admin fee,1000.0
7071,sponsor-public officials reception,1000.0
2462,donation for veterans,1000.0
1417,campaign strategy and advice,1000.0
7915,voter registartion,1000.0
15,/voter data access,1000.0
7696,turkey give away,1000.0
72,2019 overhead fee,1000.0
7799,video advertising,1000.0
2187,deposit on venue use,1000.0
7804,video commercial,1000.0
7485,text poll,1000.0
1301,campaign paraphernalia,1000.0
812,biden/harris yard signs,1000.0
7429,team sponsor,1000.0
1093,campaign contribution ,1000.0
606,april admin retainer,1000.0
1110,campaign donation,1000.0
7486,text program,1000.0
621,assistance for seniors,1000.0
2217,develope facebook page and website ,1000.0
1861,compaign management,1000.0
6748,september admin retainer,1000.0
1084,campaign communications consultant,1000.0
7914,voter reg program,1000.0
1125,campaign event deposit,1000.0
7034,software consulting,1000.0
2325,dinner sponsorship,1000.0
539,altice media solutions-marketing,1000.0
1611,catering deposit,1000.0
7249,"strategy, retainer - nov",1000.0
2144,december admin retainer,1000.0
1027,campaign advertisment ,1000.0
7758,van database access,1000.0
2443,donation - yes community project,1000.0
7900,voter files,1000.0
1248,campaign mananger,1000.0
700,band/entertainment,1000.0
550,amin 3 ads,1000.0
1143,campaign finance reporting expense,1000.0
451,advertising expenses,1000.0
755,banquet depoist,1000.0
161,50 4x8 trump signs,1000.0
819,billboard ad,1000.0
7761,van use,1000.0
687,baker and yes on 3,1000.0
1751,christmas party deposit,1000.0
2270,digital displays,1000.0
1164,campaign graphic design & printing,1000.0
1469,campaign video production,1000.0
2240,digital ad design (sets 1 & 2),1000.0
1239,campaign management retainer,1000.0
7248,"strategy, retainer",1000.0
1199,campaign literature and design,1000.0
6725,seed money,1000.0
7757,van database,1000.0
804,biden harris galloway signs,1000.0
7247,strategy retainer - dec,1000.0
1337,campaign push card,1000.0
5815,printing of slate of candidates,998.44
1927,constituent dinner,998.44
2585,education,998.0
191,997.75,997.75
2589,educational material,997.5
1916,conference lodging,996.5899999999999
4091,letterhead & envelopes,996.22
5851,printing-door hangers,995.33
628,auction ,993.39
1518,campiagn supplies,992.38
3601,grassroots meals expense,991.64
6743,sent mail,991.58
5487,post cards mailed out ,990.0
1274,campaign meeting meal,989.6399999999999
6046,push card,989.63
5842,"printing, sorting, mailing",989.2900000000001
754,banquet booklets,987.43
1784,clothing,987.18
7186,state taxes,987.0
6431,reimbursement for shirts,985.0899999999999
6679,salute to springfield,985.0
4070,legislative lunch sponsor  ,985.0
753,banquet,985.0
749,"banners, shirts, flyers",983.19
1388,campaign signs w/stands,981.17
4150,lincoln days registration,980.88
5517,postage and mailing svc.,980.16
5571,postcard printing and mailing,978.3
7424,tax witholding,978.15
7422,tax withholding ,978.15
5695,printer,973.77
433,advertising / newspaper  #1038,972.1
3166,food for golf scramble,971.8
4001,"laptop, printer, and paper for campaign",971.53
4738,"monkey printing - yard signs, postcards, banners",971.49
3982,labels,971.3799999999999
5003,online transaction fees,970.4
2580,eddm cards,969.99
5416,political material/signage,966.21
7173,state fair booth,963.5
1025,campaign advertising materials,960.8
2764,event expenses deposit to st. louis casino party ,960.0
618,artwork,960.0
3369,fundraising data services,960.0
2402,dlcc1 fundraising - quarterly,960.0
2210,design work and webiste,960.0
2123,database online hosting,960.0
2401,dlcc1 fundraising - qtrly,960.0
4057,legal service,960.0
6911,signs and sample ballots,959.71
5757,printing and mail preparation,959.36
4817,newspaper,957.9799999999998
5432,political signs 4x4 double sided corrugated ,957.91
7121,staff gifts,957.05
5078,"paid for banners, signs,postcards,stickers,shirts",957.05
7378,t-shirts and signs,955.51
2683,embroidery for trump give-aways,955.51
6195,registration/auction/lodging,954.59
7019,social media platform,954.0
5410,political event-hotel ,953.7
7261,summer caucus hospitality suite and lodging,953.47
1613,catering for event,952.73
3535,golf tournament materials,951.8199999999999
1061,campaign business cards/signs,950.0
4215,lodging - no per diem,950.0
3024,film and video editing,950.0
1517,campgin literature design,950.0
2943,fb ads,949.51
8157,yard sign design & production,949.44
7918,voter registration supplies,949.08
8185,yard signs and postcards,948.16
2868,facebook ad payment,946.86
7695,tshirts/hats,946.22
4622,meetings & catering,945.7700000000001
6452,reimbursement of legal fees,945.6
4737,"monkey printing - yard signs, postcards",944.38
8135,wire transfer fee,944.0
1490,campaign worker reimbur for materials per invoice,943.92
8066,website expense,942.8
1287,campaign newspaper ad,942.15
3753,hotel/food/beverage,941.91
6057,pushcards,941.85
6173,refund for overage,941.0
6620,return contribution overpayment,941.0
957,buttons & bumpers,940.8000000000002
1480,campaign wear,939.42
468,advertising material,938.13
2421,donate face mask,937.82
4741,monthly club mtg,937.19
7338,"t shirts, etc.",936.13
4811,newsletter ad,935.0
1553,canvass,935.0
3090,flyer insert and website ad,934.0
5541,postage services,933.8
1936,consultant - donor research,932.56
7930,walk cards,931.78
6806,shirts for campaign event,930.18
1735,christmas dinner,930.1
4271,magnetic campaign signs,930.0
6155,record keeping,929.01
4195,literature/postcards,928.77
7719,"uber 104.23, enterprise 814.21",928.44
6938,"signs, magnets",928.37
2675,email services,927.96
964,buy yard signs,927.5
1356,campaign shirts and mag signs,926.55
2532,door-to-door mailer,926.37
5630,print & online newspaper ads,926.13
4469,materials,926.09
6763,service/mgt/hand cards,925.0
1182,campaign kickoff fund raiser,925.0
6500,rent - republican caucus,925.0
7362,t-shirt design and print,923.71
5427,political sign material,922.33
3156,food for clay shooters,920.96
1601,catered event,919.19
3337,fundraiser speaker tickets,918.76
8175,yard signs & post cards,918.64
6950,signs/advertising,917.98
1702,check order,917.54
1056,campaign brochure and postage,917.22
7605,travel ,915.44
513,advertising/website,915.0
1039,campaign announcement,915.0
7399,table sponsorship,915.0
1544,candy for parade,914.6799999999998
3889,"ipad, stamps, copypaper",914.22
4846,newspaper campaign inserts,913.64
4757,"mtg, mileage & parking",912.42
7851,voluenteers charity shirts ,911.46
1457,campaign transaction,911.45
5524,postage for flyers,911.31
6729,senate caucus,910.34
4894,october expense,909.95
3333,fundraiser refreshments,909.0899999999999
1446,campaign t-shirts/yard signs,908.31
6939,"signs, magnets, cards",908.0
7762,van wrap,907.2
1583,card printing,905.75
2759,event entry fees/expenses,903.6
3975,koozies for advertising at event,901.38
3896,it support - 6 months,900.0
730,banner ads,900.0
2261,digital board,900.0
2548,drinks for golf scramble,900.0
1014,campaign add,900.0
4896,october rent at headquarters,900.0
1934,consultant,900.0
512,advertising/sponsorship,900.0
459,advertising graphics,900.0
3416,fundraising/adm,900.0
7025,"social media, videos",900.0
4857,ngp data subscription,900.0
232,accounting service,900.0
190,900.00,900.0
4029,late reporting penalty,900.0
6572,republican candidate ads,900.0
4934,office rent/3 months,900.0
3770,hq rent expense,900.0
473,advertising opposing amendment 2,899.7
6015,purchase of trump signs and hats through amazon,899.5
6099,radio advertising    #1037,896.0
3903,jackson chamber add booklet,895.0
6263,reimburse contribution made,894.61
6952,signs/car magnets,893.08
8207,yards signs,892.54
3528,golf tournament accessories,892.13
194,absentee and registration packets for voters,891.7
6419,reimbursement for mileage july august september,891.37
3785,iaff lapel pins paid from pac checking in error.,890.0
1693,charity event donation,890.0
4758,mugs,889.36
1523,canceled event,889.35
2510,door hangars & literature,889.2
4372,mailing holiday mailing,888.56
4069,legislative functions,888.5500000000001
6966,sings,887.11
319,add in paper,885.98
2847,expense reimbursement - or pechman signs,885.66
2800,event refreshments,885.06
65,2000 voter registration postcards/postage,884.14
3989,labor club christmas party,882.58
1376,campaign signs  w/ stakes,882.37
2379,display ad,881.4
5236,"payroll, payroll reports and subcontractor payment",880.0
7904,voter info,880.0
8022,webex subscription for court work online,879.66
7177,state lincoln days,879.64
1576,car signage,879.0
4416,march expenses,876.93
4337,mailer supplies - stamps,876.8
3134,food and drinks for joco lincoln day,876.4
5545,"postage stamps, 2500 @ 0.35",875.9
239,accouunting fees,875.0
2899,facility fees,875.0
5018,order 500 signs,875.0
5844,printing- 4x8 signs,873.89
4012,large yard signs,873.48
5260,personalized letters,873.36
8194,yard signs opposing proposition s -kirkwood school,871.95
6250,reimbursable expenses,871.05
6895,signs (additional),871.03
2866,facebook ad boost,870.89
2642,electricity,870.4199999999998
698,band - leadership awards dinner,870.0
737,banner services ,869.88
6853,"sign printing, etc.",866.11
7230,storage unit,866.0
8015,web site/door hangers,865.5
6285,reimburse for headquarter rent,864.94
4813,newsletter postage,864.24
2529,door knocking data and app,864.0
7936,walkbook app data,864.0
3047,financial tracking,862.5
1599,cater,862.5
37,11.5 hrs-radio ads/brochures meet with t helms,862.5
1062,campaign buttons,861.72
3648,handbills,861.54
5492,post for campaign signs,861.33
2141,decals for signs,861.0699999999999
2721,envelopes and letterhead ,860.89
8206,yard/vehicle signs for advertisement,860.66
3590,graphics & business cards,859.91
1447,campaign tablet,858.78
6854,sign production services,858.36
4090,letterhead,857.34
2218,development,857.16
837,billing,856.28
3487,give away items,854.87
6363,reimbursement - best buy for office supplies,854.55
4507,meal/meeting,854.27
474,advertising packets,853.57
2560,dues & service charges,853.0
1266,campaign meal ,852.46
5437,political yard signs,852.18
1299,campaign palm cards,852.0699999999999
2894,facebpook ads,852.0
1743,christmas gifts for caucus,851.18
7564,tools,851.14
2913,fair,850.0
4881,nra banquet supporter,850.0
8161,yard sign placement,850.0
1158,campaign fund raiser,850.0
5186,payment for guns for raffle,850.0
4740,monthly club meeting,849.7
3617,gun for fundraiser donation prizes,849.57
4655,merchandise,849.49
312,ad shirts,849.0
5097,palm cards & large signs,848.57
4489,meal,848.5600000000001
5942,promotional tent,848.0
2951,february expenses,846.14
7721,unconditional charitable gift,845.18
640,auction/donation,843.0
552,analysis fee,842.9
4105,liability insurance yearly premium,840.0
822,billboard advertisements,839.99
4438,marketing printing,839.8900000000001
598,apparel & gear,838.32
5788,printing for mailers,838.08
2356,direct mail services,838.02
6808,shirts for workers/volunteers,837.7
4531,meals/fundraiser,836.17
524,advetisment,836.15
7610,travel and admin. expenses,835.86
5," door knob bags, soiclal media advertising",835.54
4274,magnetic signs,834.9399999999999
3795,in our america posters,834.0
3873,inv 1622 - ivr survey,833.33
2003,contribution processing,833.26
990,calls marketing,833.0
6492,remittance envelopes,832.91
1175,campaign hoodies and tees,832.18
4020,late fees,831.79
785,bess truman fund raiser,831.51
322,added money/advertising,831.4
4905,office assistance,830.6
5287,phone program,830.02
8204,"yard signs,car magnets",829.06
1333,campaign promotion,827.24
657,auto maintenance/repair,825.63
6002,purchase of hog for fundraiser,825.0
3194,food for rally,825.0
4025,late filing penalty,823.94
3107,flyers/biz cards,823.93
7454,teletownhall ,823.5
4869,notepads,819.6700000000001
7406,tablet for campaign,819.31
7674,trump lawn signs,818.47
4918,office material,817.93
7661,trump 2020 campaign signs,817.31
4006,large coreplast signs,817.31
5235,payroll taxes: mo 941,817.0
1793,club meeting space & food,815.71
6113,radio commercial,815.0
4646,membership renewal,815.0
2140,decals,814.78
1380,campaign signs and cards,811.87
4535,meat & potatoes & beans for fundraiser,811.69
7305,supplies/campaigning,811.03
1285,campaign mobile service,810.98
6706,school supplies donation - fox c6 school district,810.8100000000001
5568,postcard mailing and distribution,810.1
6685,sample ballots,810.1
637,auction table and donation,810.0
4094,letterhead and stationary,809.42
3184,food for mouse races,808.41
3379,fundraising expense ,808.4
7716,tvs for women legislators of missouri auction,807.9
4543,media ,806.98
1105,campaign dinner,806.09
4327,mailer post cards,805.74
186,8 day mileage- see addendum,805.46
3255,framing,805.27
5730,"printing - letterhead, literature, evelopes",805.18
2798,event promotion,804.02
670,awards - leadership dinner,803.96
6061,q2 mileage- see addendum,803.74
6426,reimbursement for postage,803.33
7926,voting data,802.6
3384,fundraising facility & fees,802.44
6710,scratch pads,801.29
1499,campaign yard signs ,800.89
5976,purchase amendment 3 signs,800.17
3972,kolbeco-pr and marketing services,800.13
571,annual dinner table,800.0
824,billboard advertising ,800.0
8002,web site development,800.0
1245,campaign manager pay,800.0
48,1ds,800.0
605,april & may admin fee,800.0
6014,purchase of trump signs,800.0
448,advertising digital,800.0
4511,meals & meetings,800.0
4979,online banner,800.0
6708,scoreboard ad,800.0
5806,printing material and expense,800.0
4871,nov dec admin fee,800.0
2949,february & march admin fees,800.0
1603,caterer for holiday party,800.0
4714,miscellaneous,800.0
3280,full page newspaper ad,800.0
2314,dinner catering,800.0
1629,caucus dues,800.0
7681,trump t-shirts,800.0
789,beverage cart sponsorship,800.0
2818,event space for fundraiser,800.0
6991,social media & mailing,799.99
5915,promo banners,798.94
5470,polotical banners,798.84
440,advertising at fair,797.29
7502,thank you ad,797.25
1174,campaign headquarters,796.88
4640,membership fee,796.5
6107,radio air time 7/20 - 8/3,795.0
4016,late fee,794.8
7375,t-shirts advertisement,793.46
771,bbq meat,791.99
5795,printing large campaign signs,790.61
2527,door hanging sample ballots,790.54
5102,palm cards/website,790.1
6401,reimbursement for cash outlaid ,789.15
295,ad in st. charles county newspaper,789.0
4736,"money printing - yard signs, banners, postcards",788.94
2609,"election day meals, expenses reimbursements",787.96
6503,rent and utilities on party headquarters,787.13
1151,campaign flyers & postcards,786.51
956,buttons,785.9699999999999
